idx,brand_name,cos_name,cos_img_src,grade,grade_count,price,vol,ranking,description,category,category_2
1409,슬로우랩,꿀잠안대 [무향],https://dn5hzapyfrpio.cloudfront.net/var/app/current/common/upload/20200313/1584088054731.png?w=456,4.5,28,5900,5ea,아이마스크 4위 슬로우랩 1위,피곤에 지친 눈을 위한 따뜻한 셀프 힐링 아이템  - 현대인의 눈 건강을 위해 피로를 풀어주고 촉촉하게 - 눈에 딱 맞게 특수 제작된 1회용 온열 안대,생활용품,릴렉싱
1410,스팀베이스,데일리 아이마스크 [무향],https://dn5hzapyfrpio.cloudfront.net/product/48b/48ba2f30-011f-11ef-99cc-57d9a52e5d81.jpeg?w=456,3.65,82,6900,5ea,아이마스크 5위 스팀베이스 5위,"* 본 제품은 리뉴얼된 제품입니다.  20분간의 스팀 온열 마사지와 함께 즐기는 아로마 테라피  - 따듯하고 풍부한 온천수 스팀으로 피곤한 눈에 휴식을 줌 - 40도의 온도를 20분 동안 유지하여 눈의 피로감을 풀어줌 - 언제 어디서나, 어떤 자세에서도 사용하기 편리함",생활용품,릴렉싱
1411,메디힐리,아이온팩,https://dn5hzapyfrpio.cloudfront.net/var/app/current/common/upload/20200313/1584085646554.png?w=456,4.53,17,8500,5ea,아이마스크 6위 메디힐리 1위,일상 속 지친 눈으로 피로가 쌓일 떄 사용하는 아이 마스크팩  - 허브스팀 훈증 작용,생활용품,릴렉싱
1412,멕리듬,스팀 아이마스크 [유자향],https://dn5hzapyfrpio.cloudfront.net/product/d64/d64aaf20-715d-11ee-bb56-c7308301a6bb.jpeg?w=456,4.4,20,7900,5ea,아이마스크 7위 멕리듬 3위,포근한 스팀으로 기분을 풀어주는 잘 익은 유자향 아이마스크  - 지친 눈에 약 40도의 스팀으로 촉촉하게! - 기존 대비 2배 도톰해진 시트로 눈가 밀착력 UP - 온찜질 효과를 주어 긴장감과 피로 해소,생활용품,릴렉싱
1413,T.P.O,종아리 알패치,https://dn5hzapyfrpio.cloudfront.net/home/glowmee/upload/product/20200401/1585727826764.png?w=456,3.58,85,2000,2ea,레그/풋패치 4위 T.P.O 5위,"붓고 피곤한 다리에 붙이는 쿨링 패치  - 카페인 추출물, 마테잎 추출물 함유 - 시원한 쿨링감으로 피부 진정 효과",생활용품,릴렉싱
1414,아시리라,수액시트,,3.59,108,3500,2ea,레그/풋패치 5위 아시리라 1위,자기 전에 발바닥에 붙여주는 릴렉싱 시트,생활용품,릴렉싱
1415,스팀베이스,데일리 아이마스크 [포근한 이불의 향],https://dn5hzapyfrpio.cloudfront.net/product/375/375eda90-011c-11ef-b5a4-abd6f8d6aa66.jpeg?w=456,4.64,11,6900,5ea,아이마스크 8위 스팀베이스 6위,* 본 제품은 리뉴얼된 제품입니다.  포근한 이불의 향으로 깊은 수면을 도와주는 아이마스크  - 따뜻하고 풍부한 온천수 스팀 - 눈을 가장 편안하게 해주는 40℃의 온도,생활용품,릴렉싱
1416,멕리듬,스팀 아이마스크 [캐모마일향],https://dn5hzapyfrpio.cloudfront.net/product/694/6947a750-7150-11ee-9775-9957f232f0c9.jpeg?w=456,4.55,11,7900,5ea,아이마스크 9위 멕리듬 4위,포근한 스팀으로 기분을 풀어주는 은은하고 달콤한 캐모마일향 아이 마스크  - 지친 눈에 약 40도의 스팀으로 촉촉하게! - 기존 대비 2배 도톰해진 시트 - 온찜질 효과를 주어 긴장감과 피로 해소,생활용품,릴렉싱
1417,비타할로,아이조아 온열 안대 [무향],https://dn5hzapyfrpio.cloudfront.net/product/811/81168260-af07-11eb-a1e5-bbd1171bfce2.jpeg?w=456,4.42,12,11200,14ea,아이마스크 10위 비타할로 7위,하루 종일 일하느라 피로해진 눈의 긴장을 풀어주는 일회용 안대  - 눈가를 촉촉하게 해주는 은은한 증기로 건조한 눈에 스팀효과 선사 - 패키지 개봉 시 즉시 발열하여 간편하게 사용 가능 - 40도의 따뜻한 훈증 효과가 20분이상 지속,생활용품,릴렉싱
1418,수니컴퍼니,증기아이마스크,https://dn5hzapyfrpio.cloudfront.net/var/app/current/common/upload/20200316/1584335286263.png?w=456,4.36,11,8000,7ea,아이마스크 11위 수니컴퍼니 1위,스팀으로 상쾌함과 촉촉함을 느낄 수 있는 아이 마스크,생활용품,릴렉싱
